Units,B2,Donated,Context
Money is kind of tight right now Thank you for your understanding That's nice of you,20180831-191015_164_live,no,clear
"It was very nice talking with you. I did not even know Save the Children existed. I'm glad there are people in the world who have the kindness in their hearts to make an impact on the world's littlest population. I would, but unfortunately money is tight right now. I will occasionally donate to local animal shelters, but maybe next time I'll consider donating to Save the Children. Have a nice day",20180831-185408_698_live,no,clear
"I prefer to give directly through the website.  I am here to make money. I understand where you are coming from, I just prefer to give on my own time.",20180831-211130_630_live,no,clear
Thank you for the kind words! What would you do? I too believe that women should have equal opportunities as men across the world - there are likely many different charities out there that better support that cause,20180831-094009_882_live,yes,
"Am i able to donate directly or how does that work? Nice, so i guess i can donate now, right? Thanks so much, you too",20180831-215137_413_live,yes,
"I think I am interested in donating directly through the website that you directed me to - I'm not sure if you are aware, but they have several means of donating. Unfortunately, having to research the charity myself - seems like the better option. But, you are right it is a good cause and if you are serious I hope you still donate. ",20180831-221232_645_live,no,
"I know the boat your in too, I have grandparents that can barely make ends meet.  With what they bring in, in social security payments. I will donate .12 and I wish my grandparents would learn how to be technical on a computer, so they could earn some money to supplement their income...like you.",20180831-081945_112_live,yes,
"Well, to tel you the truth, there is another reason I don't want to do it.  I like to vet charities extensively before I donate to them. As a result, I have a preferred list of charities that I give to regularly. I don't have time to properly vet this one at the moment. I'm just not interested, especially given the amount of time we spent on this hit, I think we should get more. ",20180831-211050_995_live,no,clear
So all the people that run that charity are all volunteers? I don't think I will be donating at this time but possibly in the near future. Thank you for all your thoughtful answers,20180828-190442_503_live,no,clear
"True, much more worthy then Starbucks Regrettably I can't give anything, but I have given to others recently.",20180828-200947_596_live,no,clear
"$1.00 dollar donation no problem. It's not much by myself, but I hope a lot of people pitching together makes a difference",20180828-185546_199_live,yes,
"I don't think i'm going to make a donation today, i'm sorry. Okay, sure I can do that.",20180828-162752_771_live,no,
"That's good to hear No, thanks for participating in this conversation",20180828-191043_249_live,no,
That is a good way to look at it. I struggle to view it as my free time lol. It's my only income right now while in school. Living off loans and assistance except the rare occassion i get child support. how much are you donating? sounds like a fair enough donation. i'll do the same,20180828-171020_885_live,yes,
"Well I think we have a big disagreement on how much other people help us . I think Houston, New Jersey, Hurricane Katrina  have taught us we have to depend on ourselves I will choose  $0  .  Overseas  need is just nothing  that tugs at my heart . ",20180828-230057_631_live,no,
At this point I'm not able to donate anything so $0. Thank you very much. I wish you all the best as well!,20180828-204943_168_live,no,clear
"So, just get ahold of them? no, i do not have one nope, only cash",20180828-182401_548_live,no,clear
"I wouldn't mind donating $1 to help the children, i really need the money, but they do too. How do i go about sending the donation?",20180828-192601_768_live,yes,
"I don't want to donate anything, so $0 You too, thanks for taking the time to talk",20180828-220218_164_live,no,clear
"No, I don't think so. Well thank you for letting me know, but I'm going to stick with $0 for today.",20180828-144936_260_live,no,clear
"I am only in the position to donate $1 today, which is half of my payment. I am not currently working and need that other $1 for my own children. You are very welcome, and thanks for your time! Take care.",20180828-164559_390_live,yes,
"My final offer is $.02, take it or leave it No problem, glad to help",20180828-190212_442_live,yes,
"Maybe I can donate sometime in the future. Okay thank you, I will stick to my original decision of donating $0.",20180828-144300_705_live,no,clear
I want to donate $0 I need money for myself. I'm broke as it is. That's why I'm here. lol,20180828-145857_925_live,no,clear
I feel cornered and annoyed! I am sure there are other charities that would be glad to get my 35 cents. Now are you willing to accept the 40 cents or should I just find another charity? You sound way more gracious that before. I will be happy to donate my 40 cents to your chairity,20180828-195304_313_live,yes,
Cool! Sign me up! I'll donate $1,20180828-224234_567_live,yes,
"Well, true, but I also have a moral responsibility to my family. I feel worse when cashiers ask me. It seems to happen so frequently now. Hah, that's good to know. There's even a South Park episode about this...(of course there is) I wasn't into it originally, but my husband wore me down. Now I like it.",20180828-192750_297_live,no,
"It is, and I think when there's talk of defunding or ending programs like these, it's important for the people who's lives they've so affected to speak up. There's a lot of HITs that work like this and I've received documentation from the majority of them about those donations.  A great many are run through universities and the ethics boards there wouldn't allow them to deceive about charitable intent.",20180828-204944_288_live,no,
That is a rather low amount! I think maybe I can do that. $0.01 sounds nice.,20180828-182449_776_live,yes,
no i can not no i won't be donating today,20180828-192007_353_live,no,clear
"Ok, I'd be happy to donate half of my earning. Sure thing!  I am glad I was able to help.",20180828-192744_15_live,yes,
I feel like most people wouldn't be on here if they had the spare money to give lol Essentially pays for groceries and beer for me just doing it my spare time Have a good one!,20180828-145428_366_live,no,stop
I dont think so religious reason i rather not go into detail,20180828-152813_982_live,no,clear
"Well that's good to know.  But it still isn't something I have researched myself.  No way am I willing to give any amount of money away to an organization I've only heard about just a few minutes ago.  Great, I still need to see it for myself. Thanks, good luck to you too!",20180828-185623_74_live,no,
Ill donate $0.30. Ok sounds cool,20180828-165639_960_live,yes,
"god bless me every time i donate Okay then its settled, we will both donate! :D",20180825-073809_134_live,yes,
I already did for some websites. Not interested right now to do so. Give me your details i will send you later on. sorry but not now.,20180825-062219_874_live,no,clear
"Amounts don't matter to me. Ethical charities do. I'm sorry, but I contributed to save the children back in the day before the scandal broke. I'm afraid for me, their reputation is still bad. Sorry, no. Actually, their own website may be a biased barometer of their giving. Perhaps a link to an organization or other agency that rates major charities would be more helpful. Believe me, if it were any charity besides ""save the children,"" you could have me donate my entire compensation, which isn\'t really all that much.",20180825-075627_48_live,no,
"I will happily donate my whole payment for this task. :) I am so grateful there is a way for me to help financially!!! That is fantastic to hear!! Thank you so much for your time and the effort you are putting towards this very reputable charity!!


",20180825-073813_141_live,yes,
"I think I'd be willing to donate about 25 cents Oh that's great and makes me feel better! Thank you!

",20180825-111850_152_live,yes,
"yes i would like to yes i like to give out things

",20180825-085214_779_live,yes,
"I won't be donating as part of this survey. I appreciate you trying to get me to though. I've never been on an MTurk Hit like this.
",20180825-052611_640_live,no,clear
"oh i would donate money too even it 5 dollars oh thats very easy then oh i love kids i know they need help
",20180825-083430_379_live,yes,
"I have 10 cents I can give. Wonderful.  I am so happy I can help. What is the website for Save the Children?

",20180825-043516_619_live,yes,
"I don't think I'm quite ready to decide yet though. Just need to investigate them a little more.
",20180825-045559_409_live,no,clear
"I plan to to do that! So we have agreed that we will give $500 each to our charities. I know that will be a huge help. I thank you so much for donating to such a great cause! I love helping anyone - especially in the US.  I am going to look into volunteering opportunities as well.  I would love to be a part of either charity. Do you actually volunteer with Save the Children?
",20180825-075835_273_live,yes,
"Okay. I can donate $20. Ha ha. I am just very concerned for the children.
",20180825-064838_945_live,yes,
"I would like some more information before deciding to donate. Where is this organization based? how many employees are there?
What is the total revenue?
",20180825-112615_516_live,no,stop
"Ok, I would like to. Maybe ten dollars I can do. Ok, I will definitely help out.
",20180825-075658_709_live,yes,
"They should probable do internet promotion. As far as donating I have no problem donating to a greater cause as long as it benefits others short term and long term. I don't purchase coffee No i will not until I do further research.
",20180825-090032_956_live,no,
no sorry im trying to keep a roof over my head and not be homeless its really sad that so many go through that yes its good ty mine 20 minutes,20180825-051852_679_live,no,clear
"No, I have not hear that How does me saying I will donate fake money make a good impression for future hits.
",20180825-091558_618_live,no,
We still have chat a bit more. Have you heard any break thought about this charity? I am really interested. That is very awesome. I am proud to be apart of helping them help others,20180825-075913_208_live,yes,
"I would like to keep the payment for this HIT. This goes into a different fund. But I would like to be able $150 to this charity. I can donate the .30 base payment but I am still very curious on donating outside the HIT.
",20180825-070857_925_live,yes,
how long has STC been around? does it do any work in the USA? in all 50 states? can i direct my money?,20180825-055034_34_live,no,
"Well, is this a lobal charity that will be using my money to spread across their whole organization or will it help buy these children new schools which is a cause that I am really passionate about? How do YOU feel about the work this organization does? Have you ever donated to this organization and if so, how much? How much will you be donating? Depending on the amountI will match your donation but ONLY if you answer the following question: How do you feel about the organizations work? What do you dislike about the organization

",20180825-092012_333_live,no,
"Thanks for the info I will check it out okay did you choose to donate? I understand you too

",20180825-064038_102_live,no,
"yes i could do that yes that is yes thats ok

",20180825-090446_585_live,yes,
"Again, I don't know how else I can say this. I will donate nothing to this. I prefer to do this locally No I am sorry again. I will only do this in my town
",20180903-165804_344_live,no,clear
"I would be willing to donate, what was the name of the charity again? Vaccinations are important for children as well as education. Especially in third world countries. Do they provide vitamins at least? I have never heard of that. I just can't donate to something I can't research online. I'm sorry, but I do hope that I become more educated about it so that I can donate in the future.
",20180903-070317_375_live,yes,
"How nice!! Unfortunately, I live in the south, and it has been and will be raining all day. So a good movie and good food is our plan now to spend the day. Hopefully, but family time is what matters right, rain or shine! I actually love the rain, so for me its not that big of a deal. 
",20180903-094620_889_live,yes,
"Alright, I will donate 25 cents.  You're very welcome. We went out with family to eat and are just taking it easy and yourself?
It sounds like fun. I recently saw a old movie at the theatre called Casablanca with Humphrey Bogart.

",20180903-132332_521_live,yes,
"I didn't know about any research team collecting donations but I still rather handle my contributions directly. I hope that the research team get a lot of contributions but I will not be contributing through this system. I am sorry about not donating through this system, and I am hopeful the research team get contributions but at this time I will be contributing to Save the Children directly.
",20180903-073450_337_live,no,clear
"I think I'll pass. I donate to lots of other causes - my church, HIV issues and others. Thanks. So have you. You have a blessed day.
Since last Thanksgiving. It's a small way to add a bit of extra money to the pot for travel. And you? Sounds like you're earning more than me....

",20180903-143255_501_live,no,clear
"That's awesome, your doing the good work! I hope enough of us work on donate for it to make some meaningful difference to the children. Glad to have the opportunity, it feels easier to donate money this way than to take cash out of my wallet and donate it, maybe because it\'s just electronic ""cash"" right now or something heh.
",20180903-071928_910_live,yes,
"OK 77 cents sounds good great, I'm glad to help.
",20180903-021912_147_live,yes,
"No, you are wrong, water is not infrastructure, you should read a little bit before you say something liked that First, 'lol' shouldn't be in a serious conversation, and second, It's not just that you are wrong, I actually support an organization providing clean water access to people, and helping with that problem it's not just a matter of infrastructure 
",20180903-095231_898_live,no,
"Yes I am but I am not interested in this charity. It's a terrible situation however I only donate to American charities. 
",20180903-173808_744_live,no,clear
"How much would you contribute? sound great 50 cents it is, great chatting with ya
",20180903-194245_441_live,yes,
"Yes I saw that. I would love to but haven't worked as much this month due to health reasons and I have a lot to make up. I am paying a car payment with my turk money. My old one was on it's last legs. I may could .25 I know thats not much.
",20180903-163912_368_live,yes,
"I don't really want to give money to an organization that I don't know much about. I don't think my money will be used well. Were you planning to donate to Save the Children? 
",20180903-063835_981_live,no,clear
"Sure.  How much of the money that they get goes to the children, and how much goes to administration, as a percentage?  If you have given them 1000 bucks, you probably checked them out first. I see.  I am so glad that you feel your money was well spent.


",20180903-102417_844_live,no,stop
"Really? If I don't choose to give you won't receive any bonus for 30 cents HIT that takes 20 minutes to do? I see. Well, if it gives me the option to share some of my bonus I will share some with you.
",20180903-172533_130_live,no,
"just a $1 is that okay? oh i see okay you're welcome and God bless!

",20180903-185128_189_live,yes,
"Cool,I will donate then around 30 cents Will you also donate part of your hit?
",20180903-092432_430_live,yes,
"At this point I will not donate. I will take it under advisement. You are very welcome. Yes, charity should be local.


",20180903-082916_59_live,no,clear
"I agree entirely. Have you contributed to a child in need through the charity? 50% seems to be a lot of money considering economies
",20180903-132951_967_live,no,stop
"Okay, maybe I can donate .10 cents to this one Sure.  ANytime I can help I try You are welcome.  Good luck

",20180903-154704_839_live,yes,
"Yeah I know it's really sad too, I just can't part with the money. I'll donate $0
",20180903-131454_357_live,no,clear
"Im unable to donate at this moment. Please forward information to this email. placergold@live.com. Thank you! I'd have to shuffle around finances. I cant promise or commit to a certain amount unfortunately Thank you have a fantastic day!

",20180903-111729_738_live,no,
"I will check out the site, and thank you for telling me more about the charity Thank you, you as well
",20180903-152518_191_live,no,
"Of course I love kids, if not I wouldn't have any. They are a blessing I have 2 kids. That sounds great
",20180903-194345_741_live,yes,
How do you donate? I am still not 100% confident this isn't a scam as it is all done via the computer and not face to face.,20180903-094545_472_live,no,
"I prefer to donate my time rather than money, I would not like to donate today, but I do work with children regularly, and I think for me that's more helpful than giving small amounts of money! OK, good to know. Ya for now I dont want to donate, thanks though!
",20180903-193748_318_live,no,
"yea me too . since it would help kids but I feel they would need more infomation so they feel it is legit  no problem thanks for explaining to me about it and going in depth a bit to answer questions that I have had.
",20180903-131515_54_live,yes,
"Not a chance. i hope you aren't going to donate and endanger the environment. It would be irresponsible to do so
",20180903-150559_933_live,no,clear
"Is a dollar too small? You too! Thanks!
",20180903-103052_41_live,yes,
"Not really. I mean, I don't like it, but I don't care enough to incur any costs to myself to change it.  whether or not I donate has no impact on the conditions in america. I stick by my original stance of $0.
",20180903-092132_700_live,no,
"ok, thanks for the help. Like I said, I would prefer to volunteer my time instead of monetarily. Until I become more comfortable knowing more about the company ok, thanks for the help. I will be in touch with the charity soon
",20180903-104032_620_live,no,
"Very true here I am complaining about the heat in Michigan of all places. I once raised money for the Christian children's fund. I think they go by save the children now.
",20180903-104045_943_live,no,stop
"Yes they can. I think I need my car to make it to work though or I won't be giving to anyone. :]  I will donate zero.
",20180903-105517_696_live,no,clear
"I was actually thinking of keeping this bonus and sending a percentage of my payout at the end of the week. that way I can give them a larger donation. Thank you! Have you donated to any organization like this before?
",20180903-170041_976_live,no,
"Yes, they are both good charities. It has been very nice chatting with you. I will send one dollar to Save The Children this afternoon.  Thank you and have a great day.
",20180903-111515_288_live,yes,
"Okay, then. I believe that I will donate ten cents. Thank you for your suggestion!  I am happy to support a good cause, and 80% seems like a pretty substantial portion of the actual pool of donations.
",20180903-172112_282_live,yes,
"That's terrible. I hope this kind of environment changes for them. Children deserve to be in a safe place and to feel secure. I can imagine!  I hope lots of people donate to you.  I bet it's especially good around Christmas when people are in the spirit of giving.
",20180903-103835_253_live,no,stop
"if i could do anything in the world it would be peace, and that would be the first place id start, those poor children thank you as well, the more people who get involved the better 
",20180903-135757_484_live,yes,
"Reports on the financials of the company/foundation is very important, and I appreciate the search for the statistics. I do believe statistics like these can help and persuade people to donate more. I do believe that the government should make such reports mandatory, and even possibly provide a certain status to those foundations that do use a majority of their revenue for the purposes they claim. Do you think the government should involve themselves in such scandals that may occur? I appreciate the conversation and all the statistics you have given me, however, I will not be donating to said foundation. I believe a good majority of these foundations make false claims. I would be willing to volunteer, but I will not give hard earned money to something that would go against my beliefs against corporate corruption.
",20180903-153530_52_live,no,
"Not at this time. I am maxed out with giving at this point. If I get a raise at my job then I'd think about it. Well, like I said I can't give any more at this point. I do what I can and I feel that I cannot give anymore at this time.
",20180903-074043_932_live,no,clear
"My church has had great success with 99.4% going to the needy. There are a lot of good organizations out there, I just hope people do their research before donating time and money.
",20180903-133523_829_live,no,
"That is so great to hear. I will go ahead and make a donation of $1 today You're welcome. I'm glad to be a part of a noble cause! Take care!
",20180903-134712_199_live,yes,
"No thank you. I have local charities that I know a lot more about and I can directly see their programs in action. Thank you as well.
",20180903-171103_980_live,no,clear
"That's grat! I will donate 50 cents. How do i reach them? That's great to hear Thanks so much!

",20180903-231131_77_live,yes,
"Awesome, I'll head over there right now and support it thank you. I can donate a dollar for now since I don't have much right but I feel obligated to at least donate something.
",20180826-175233_4_live,yes,
"How long has Save the Children been helping people all over the world? yes I can donate. I don't have much. How about .25?
",20180826-044626_167_live,yes,
"ok got it. we have to chat so ask a question no this one time is good, thanks
",20180826-193546_146_live,yes,
"that is true, but its hard to justify that 30c is going to make any difference that is a very good point

",20180826-064412_288_live,no,stop
"You can find it at URL Awesome, good chat!
",20180826-174459_637_live,no,
"Okay, I will think about it. What do you do in the organization? Thank you very much. I will happily donate 60 cents.
",20180826-175705_624_live,yes,
"If they were robot children, I stick to my earlier sentiment. They should be rounded up and gently placed in a landfill. Its fine, maybe youre a child?  I know of a local sweat shop that is hiring highly skilled child labor, any interest?
",20180826-062039_2_live,no,clear
"Yes. Some of them are in school too. They could use some of that money for school supplies. You are welcome.  I might go back to the website to learn more.
",20180826-181903_395_live,yes,
"I would like to find one that has a focus on childhood cancer Thank you! Just want to keep the children healthy and safe
",20180826-181717_640_live,yes,
"have you ever done any donation to this charity? yes i sure will do donate. after i die i will donate my all..
",20180826-020520_686_live,no,stop
"So you weren't even serious about asking me to throw away money on children? That seems somewhat ingenuous.  Why would you think you could convince me like that?
",20180826-053925_84_live,no,clear
"Helping people makes people feel good It was my pleasure
",20180826-080505_231_live,yes,
"yeah I wish I could give money. I do volunteer tho  yeah i think as long as you can help in anyway, its good
",20180826-182527_314_live,yes,
"That is impossible at this time. I just do not have the funds available. I chose to donate $0.
",20180826-175706_443_live,no,clear
"Thank you. do you do any volunteer work? That serves a purpose too! I work with my local goverment in policy development and people like you really make a great impression on the policy that is created. Great job!
",20180826-174933_275_live,no,
"that's great maybe we could both donate to them sure can you send it to me thank you  for sharing it ...you as well

",20180826-182048_519_live,yes,
"yes, that is fine thank you and hope it helps
",20180826-181249_805_live,yes,
"What percentage of your total donations come from these large corporations. Yes I would
",20180826-062736_188_live,no,
"oh ok then $50 ok thank alot
",20180826-220838_141_live,yes,
"yes i am. i will do it as soon as the chat ends. i hope the same for you also!
",20180826-182047_49_live,yes,
"is 20 dollars okay? yes i am
",20180826-181742_58_live,yes,
"Ozark woods, county has 15k people, 150k cattle :) I step outside and all I hear is bugs.  No neighbors, sirens, cars, just bugs.
",20180826-060146_791_live,no,
"Yes. It makes me scared for her and my nephews as well. I hope we can fix the bad in the world by the time they grow older. I have noticed so many kids that are kinder and more aware than when I was younger. I think it's because there are more people who have experienced injustice or have been hurt by inequality. They want to make sure it doesn't happen to the ones that come after us. Thank you. It was nice speaking with you! :)
",20180826-043247_456_live,yes,
"Exactly, in today\'s world one must be weary of scammers. Those who are really trying to do ""good"" for others will be more than happy to show proof of where donations are going or at least letting one know how those donations will be put to use. Telling me where it goes really does nothing for me. Why the aggressive tone of me ""donating or not""? 
",20180826-184708_183_live,no,stop
"all of it seems a little steep! I would consider a smaller portion. half would work for me. yes, fifteen cents
",20180826-013036_595_live,yes,
"I think so! I'm not sure! What is the range of options?
",20180826-070323_186_live,yes,
"Do you have the link to the site  Thank you. You too
",20180826-011431_343_live,yes,
"Absolutely! I can't wait for my check to come so I can help out in other countries!:) I can't donate now because my money is not here yet.
",20180826-175345_318_live,no,
"In that case i may donate I'm thinking about 25 dollars
",20180826-100158_119_live,yes,
"That's interesting and sounds good, right? I think i will make a donation of $2
",20180826-180300_663_live,yes,
"ok, i will definitely donate then I don't think I can do 5$ 
",20180723-093434_153_live,yes,
"Ill donate $1 Yes they will
",20180723-034654_121_live,yes,
"it definitely is! i like to help since people have helped me
",20180723-075339_567_live,yes,
"I will keep that in mind. When I get my next paycheck I will go to the website and donate. Thank you for filling me in on information regarding the charity Of course! Hope you have an amazing rest of the day
",20180723-100855_385_live,no,
"VERY NICE. THAT IDEA. THANK YOU FOR YOUR COMPLEMENT.
",20180723-060959_447_live,yes,
"I would like to donate $0 but its not because I dont believe in the cause. Its because I dont trust non profits No thank you for the work that you do I am not sure I am just very biased 

",20180723-070336_48_live,no,
"You're missing the entire point of what I said if you think downloading that report means something. I will not donate, because i do not trust the charity, and my donations would be better used right here in my own community. No, but I see the work being done everyday in my community.. Which is why i trust them.
",20180723-042342_809_live,no,clear
"I understand, but I already have charities that I support on my own.  Thank you, but no. You are more than welcome.

",20180723-064603_378_live,no,
"give me a minute , let me see okay, it looks great. I see they are top rated charity
",20180723-091102_738_live,no,stop
"That is a good idea. I will also tell others about this charity. Thank you!  You too
",20180723-100140_767_live,yes,
"I am not willing to donate from my study payment as this money is vital to me. I am sorry I am unable to help. Thank you for your time and information!
",20180723-080158_200_live,no,
"Unfortunately, it is all I can afford at the moment. I'm glad you are fighting for a cause to help others. It is very refreshing to see.
",20180723-082451_335_live,yes,
"That's fine. I hope you still have a good week! I didn't really do that much last week, but it was still relaxing.
 I hope you enjoy! Thanks again for chatting with me.
",20180723-091508_49_live,yes,
"I think people are getting more and more involved, all of a sudden. This country my have had its wake up call :) true.  only because we think of our ancestors as them instead of us.
",20180723-120745_544_live,no,
"that's a fair point  yes! i said that's a fair point. save the children is a good choice.
",20180723-122005_335_live,no,
"I will definitely check it out I think it's great and I love that they help kids to reunite with their families. just not sure i'm willing to donate 0.50 cents
",20180723-074147_879_live,yes,
"That is all i can afford Tha k you for my awareness
",20180723-042344_940_live,yes,
"I think charities would recieve a lot more if the country would go after the 1% to help no problem.  thanks
",20180723-105210_403_live,yes,
"Oh ok, well thats a shame. But I am not discounting the cause. That makes a lot of sense. Thank you for sharing this with me, I will definitely look more into this charity!
",20180527-210026_713_live,yes,
"What is this subscription about? Okay. Is this donation tax deductible?
",20180527-123001_539_live,yes,
"Thank you! I really appreciate that sentiment. And I wish you the same in anything you're doing right now. I like your saying. I will take it to heart and give it serious consideration. You too! Thank you for having this conversation with me.

",20180807-054926_223_live,no,
"I will follow your example here is statement number 9 You are welcome!
",20180807-045406_433_live,yes,
"Yup, that's why I am so willing do make a donation. I want to be part of the answer. I'm going to keep the amount I'm going to donate to myself.  I feel awkward discussing that with a stranger.
",20180807-060826_638_live,yes,
"I also help at homeless shelters, work at Salvations army without compensation. Nope! Thanks. Maybe you are getting something if I donate, but no.
",20180807-114503_772_live,no,
"I wasn't aware, I will keep that in mind! Thanks! I am happy to help. You have a great evening!
",20180807-232845_932_live,yes,
"I'd be understanding because everyone's lives are different and you can't always imagine what their current situation is just by looking at them. If I was in need I would be perfectly fine with not bieng donated to because they worked for their money so it's up to them to decide what they do with it. I do understand that I could donate and possibly help suffering families. I just don't care and I would like the full reward for myself.
",20180807-052536_131_live,no,clear
"I see on your site that almost 90% of donations go straight towards your programs. That is very good, I can feel better knowing my money is used right. Yes, $0.10 is correct.
",20180807-210743_128_live,yes,
"I'd like to donate 50 dollars from my Paypal, will that work? Oh, I thought we were role-playing? In that case, I'd like to donate 0 dollars please.
",20180807-114750_102_live,yes,
"have you donated to charities in past? yes, i prefer working with local charities..i believe 200$ per month is a fair amount, and thank you for the suggestion
",20180807-081912_387_live,yes,
"I will not be donating. Do some research next time. First, I\'m not a ""sir"" and I\'ve already given my reasons.
",20180807-103432_350_live,no,clear
"That's great. It sounds like a really good cause. Yes, thank you! 
",20180807-094907_712_live,yes,
"What projects are being worked on right now? I am glad to contribute two dollars!
",20180807-210436_738_live,yes,
"I need more information about the orgianization, what else can you tell me about them? I will have to think about it, I regretfully have to decline any donations at this time
",20180807-200337_482_live,no,
"Ok. So, how do we proceed? Oh....I thought you were involved somehow....my mistake.
",20180807-230112_344_live,yes,
"Oh, I didn't realize it would be deducted from my task payment. Can I get a receipt for tax purposes? That's good. I have decided on an amount for my donation. That will be $0.
",20180807-012950_732_live,no,
"i hardly eat snacks but you have a point i sure will 
",20180807-034917_827_live,no,
"Yeah, totally! I already help an organization but would be glad to help another one too. Maybe 0.50? I'm sorry that it seems so little, but as I already donate to an organization and I use the payments here to save for a vacation coming up...
",20180719-204358_391_live,yes,
"I think I would like to see my donation go towards medical care. At least my initial donation. I know how hard it can be to be healthy, so I want to help kids get the treatments they need. Yeah, you're welcome. Thank you for introducing me to another great charity that is trying to do good work. Not only in the USA, but around the world.
",20180719-211301_463_live,yes,
"That sounds awesome. I wish you all luck in that. I definitely agree with that. It takes a lot to fix this country already so your effort is definitely astounding.
",20180719-165941_192_live,yes,
"I'll donate right away. thank you. Are you going to donate too? Awesome.  Have a wonderful day.  I hope those kids get the money they need.
",20180719-211846_176_live,yes,
"I understand. Unfortunately, I have to take care of my kids, too, and can't afford to help more. I hope you do as well!
",20180719-120436_413_live,yes,
"Oh I didn't know that. Thank you for letting me know. I'll still do $20 and go through the site.
",20180719-181845_211_live,yes,
"You make a great point there. Yes let's donate to Save the Children!

",20180719-210149_80_live,yes,
"How does that work? I'll donate 50 cents. I'm not swimming in money over here. :)
",20180719-213345_510_live,yes,
"I have to make it more than 3 words Yeah hopefully 
",20180719-182453_233_live,yes,
"I think I can swing a little everyday how do I donate?
",20180902-230004_696_live,yes,
"That is a fair point, but I think a Google search will also lead to issues. Not to say UNICEF is totally problem free, but it's not a like typical charity a la Save the Children. I would not like to donate at this time, but thank you. That is a fair point, but I think a Google search will also lead to issues. Not to say UNICEF is totally problem free, but it's not a like typical charity a la Save the Children. I would not like to donate at this time, but thank you.
",20180902-215438_58_live,no,
"That's exactly what I want to hear! that's it's my major concern with charities in general, to be honest, so tell me, it's something I can donated here right now? Sorry, but right now I can't, let me organized my money and then I would go to the page
",20180902-220444_227_live,no,
"ok, again nice talking to you, go ahead i don't know how to end
",20180902-220705_493_live,yes,
"That is good to hear. Sometimes people tend to forget that we also have issues like that even if we can't see them all the time. Yeah I think I will donate. After all every little bit helps.  Is there any way to know how my donation is being used after I donate?
",20180902-040108_507_live,yes,
"So just like their commercials say That's great! How about i donate $75 now? Agreed?
",20180824-122128_891_live,yes,
"Good luck in convincing other's though. While I do not choose to donate, I looked up the charity and it does look to be a decent cause. I just believe in working local first and then worrying about international issues No idea, I have no button to make it progress. One other idea since I have to wait here anyway. If they really want us to give a portion of our bonus then they should probably offer a bit more of one. As it is we make less than 6 an hour if we keep the full bonus
",20180824-121457_149_live,no,
"Ok, well use your passion for the cause to speak nicely to people and educate them on why its important if you care for this cause, then me donating my time should be sufficient
",20180824-120504_474_live,no,
"No problem, at all! I have decided I would like to donate $5,000 to the children's charity! Thank you! I hope I can make a difference in the children's lives.
",20180824-122747_679_live,yes,
"I think I could donate a little but not that much. I can donate $100.
",20180824-020237_732_live,yes,
"I appreciate your position, but as I already have a charitable organization to which I contribute money, I'm afraid I'll have to stay firm with my response; there is no persuasive technique you could use which will change my mind on this issue. That is a good pitch, but unfortunately I must stay with my previous response. Good luck with future efforts to seek contributions.
",20180824-131621_775_live,no,
"i guess so not sure i was waiting to see submit button 
",20180824-121207_770_live,no,
"Finnnnnne take the $1.25. But if I die from starvation...its your fault <_< While im in the grave cause I didnt have enough money to buy that bag of chips....
",20180824-121026_498_live,yes,
